Gene,Annotation,Ordered locus name,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
yghB,Inner membrane protein YghB,b3009; JW2976,YGHB_ECOLI,P0AA60,EG11824,219,yghB,b3009, JW2976
lgt,Prolipoprotein diacylglyceryl transferase,b2828; JW2796,LGT_ECOLI,P60955,EG12128,291,lgt; umpA,b2828, JW2796
rplC,50S ribosomal protein L3,b3320; JW3282,RL3_ECOLI,P60438,EG10866,209,rplC,b3320, JW3282
tdh,L-threonine 3-dehydrogenase,b3616; JW3591,TDH_ECOLI,P07913,EG10993,341,tdh,b3616, JW3591
ybhQ,Inner membrane protein YbhQ,b0791; JW0774,YBHQ_ECOLI,P0AAW5,EG13673,136,ybhQ,b0791, JW0774
miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,b0661; JW0658,MIAB_ECOLI,P0AEI1,EG13657,474,miaB; yleA,b0661, JW0658
dnaB,Replicative DNA helicase,b4052; JW4012,DNAB_ECOLI,P0ACB0,EG10236,471,dnaB; groP; grpA,b4052, JW4012
mepM,Murein DD-endopeptidase MepM,b1856; JW5304,MEPM_ECOLI,P0AFS9,EG10013,440,mepM; yebA,b1856, JW5304
ylaC,Inner membrane protein YlaC,b0458; JW5063,YLAC_ECOLI,P0AAS0,EG14238,156,ylaC,b0458, JW5063
cmoA,Carboxy-S-adenosyl-L-methionine synthase,b1870; JW1859,CMOA_ECOLI,P76290,EG14033,247,cmoA; yecO,b1870, JW1859
lepA,Elongation factor 4,b2569; JW2553,LEPA_ECOLI,P60785,EG10529,599,lepA,b2569, JW2553
der,GTPase Der,b2511; JW5403,DER_ECOLI,P0A6P5,EG14207,490,der; engA; yfgK,b2511, JW5403
asnS,Asparagine--tRNA ligase,b0930; JW0913,SYN_ECOLI,P0A8M0,EG10094,466,asnS; tss,b0930, JW0913
carB,Carbamoyl-phosphate synthase large chain,b0033; JW0031,CARB_ECOLI,P00968,EG10135,1073,carB; pyrA,b0033, JW0031
rcsF,Outer membrane lipoprotein RcsF,b0196; JW0192,RCSF_ECOLI,P69411,EG11502,134,rcsF,b0196, JW0192
secE,Protein translocase subunit SecE,b3981; JW3944,SECE_ECOLI,P0AG96,EG10939,127,secE; prlG,b3981, JW3944
ytfP,Gamma-glutamylcyclotransferase family protein YtfP,b4222; JW4181,YTFP_ECOLI,P0AE48,EG12516,113,ytfP,b4222, JW4181
xanQ,Xanthine permease XanQ,b2882; JW2850,XANQ_ECOLI,P67444,EG13065,466,xanQ; ygfO,b2882, JW2850
trxA,Thioredoxin 1,b3781; JW5856,THIO_ECOLI,P0AA25,EG11031,109,trxA; fipA; tsnC,b3781, JW5856
ygaM,putative protein YgaM,b2672; JW2647,YGAM_ECOLI,P0ADQ7,EG13285,109,ygaM,b2672, JW2647
glnK,Nitrogen regulatory protein P-II 2,b0450; JW0440,GLNK_ECOLI,P0AC55,EG12191,112,glnK; ybaI,b0450, JW0440
chbB,"PTS system N,N'-diacetylchitobiose-specific EIIB component",b1738; JW1727,PTQB_ECOLI,P69795,EG10140,106,chbB; celA,b1738, JW1727
murC,UDP-N-acetylmuramate--L-alanine ligase,b0091; JW0089,MURC_ECOLI,P17952,EG10619,491,murC,b0091, JW0089
speB,Agmatinase,b2937; JW2904,SPEB_ECOLI,P60651,EG10960,306,speB,b2937, JW2904
ompR,Transcriptional regulatory protein OmpR,b3405; JW3368,OMPR_ECOLI,P0AA16,EG10672,239,ompR; kmt; ompB,b3405, JW3368
groL,60 kDa chaperonin,b4143; JW4103,CH60_ECOLI,P0A6F5,EG10599,548,groL; groEL; mopA,b4143, JW4103
ghxP,Guanine/hypoxanthine permease GhxP,b4064; JW4025,GHXP_ECOLI,P0AF52,EG11939,449,ghxP; yjcD,b4064, JW4025
moaB,Molybdenum cofactor biosynthesis protein B,b0782; JW0765,MOAB_ECOLI,P0AEZ9,EG11596,170,moaB; chlA2,b0782, JW0765
argS,Arginine--tRNA ligase,b1876; JW1865,SYR_ECOLI,P11875,EG10071,577,argS,b1876, JW1865
manY,PTS system mannose-specific EIIC component,b1818; JW1807,PTNC_ECOLI,P69801,EG10568,266,manY; pel; ptsP,b1818, JW1807
citE,Citrate lyase subunit beta,b0616; JW0608,CITE_ECOLI,P0A9I1,EG13542,302,citE; ybdW,b0616, JW0608
tamA,Translocation and assembly module subunit TamA,b4220; JW4179,TAMA_ECOLI,P0ADE4,EG12513,577,tamA; yftM; ytfM,b4220, JW4179
ppnN,Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase,b2795; JW2766,PPNN_ECOLI,P0ADR8,EG12373,454,ppnN; ygdH,b2795, JW2766
ybhR,putative multidrug ABC transporter permease YbhR,b0792; JW5803,YBHR_ECOLI,P0AFP9,EG13674,368,ybhR,b0792, JW5803
nuoB,NADH-quinone oxidoreductase subunit B,b2287; JW5875,NUOB_ECOLI,P0AFC7,EG12083,220,nuoB,b2287, JW5875
cpdA,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA",b3032; JW3000,CPDA_ECOLI,P0AEW4,EG12187,275,cpdA; icc,b3032, JW3000
murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,b3189; JW3156,MURA_ECOLI,P0A749,EG11358,419,murA; murZ,b3189, JW3156
hslR,Heat shock protein 15,b3400; JW3363,HSLR_ECOLI,P0ACG8,EG12929,133,hslR; yrfH,b3400, JW3363
pyrI,Aspartate carbamoyltransferase regulatory chain,b4244; JW4203,PYRI_ECOLI,P0A7F3,EG10811,153,pyrI,b4244, JW4203
thiL,Thiamine-monophosphate kinase,b0417; JW0407,THIL_ECOLI,P0AGG0,EG20227,325,thiL,b0417, JW0407
guaD,Guanine deaminase,b2883; JW5466,GUAD_ECOLI,P76641,EG13066,439,guaD; ygfP,b2883, JW5466
ynjB,Protein YnjB,b1754; JW5284,YNJB_ECOLI,P76223,EG14004,388,ynjB,b1754, JW5284
purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase,b2476; JW2461,PUR7_ECOLI,P0A7D7,EG10791,237,purC,b2476, JW2461
alaC,Glutamate-pyruvate aminotransferase AlaC,b2379; JW2376,ALAC_ECOLI,P77434,EG14198,412,alaC; yfdZ,b2379, JW2376
eptB,Kdo(2)-lipid A phosphoethanolamine 7''-transferase,b3546; JW5660,EPTB_ECOLI,P37661,EG12267,563,eptB; yhjW,b3546, JW5660
adeP,Adenine permease AdeP,b3714; JW3692,ADEP_ECOLI,P31466,EG11724,445,adeP; purP; yieG,b3714, JW3692
rplA,50S ribosomal protein L1,b3984; JW3947,RL1_ECOLI,P0A7L0,EG10864,234,rplA,b3984, JW3947
nrdB,Ribonucleoside-diphosphate reductase 1 subunit beta,b2235; JW2229,RIR2_ECOLI,P69924,EG10661,376,nrdB; ftsB,b2235, JW2229
hemB,Delta-aminolevulinic acid dehydratase,b0369; JW0361,HEM2_ECOLI,P0ACB2,EG10428,324,hemB; ncf,b0369, JW0361
rimK,Ribosomal protein S6--L-glutamate ligase,b0852; JW0836,RIMK_ECOLI,P0C0U4,EG10852,300,rimK,b0852, JW0836
sohB,putative protease SohB,b1272; JW1264,SOHB_ECOLI,P0AG14,EG10956,349,sohB,b1272, JW1264
mltC,Membrane-bound lytic murein transglycosylase C,b2963; JW5481,MLTC_ECOLI,P0C066,EG12986,359,mltC; yggZ,b2963, JW5481
garR,2-hydroxy-3-oxopropionate reductase,b3125; JW5526,GARR_ECOLI,P0ABQ2,EG11176,294,garR; yhaE,b3125, JW5526
sapF,Putrescine export system ATP-binding protein SapF,b1290; JW1283,SAPF_ECOLI,P0AAH8,EG12305,268,sapF,b1290, JW1283
ygiC,Putative acid--amine ligase YgiC,b3038; JW3006,YGIC_ECOLI,P0ADT5,EG11165,386,ygiC,b3038, JW3006
tdcF,Putative reactive intermediate deaminase TdcF,b3113; JW5521,TDCF_ECOLI,P0AGL2,EG12757,129,tdcF; yhaR,b3113, JW5521
torR,TorCAD operon transcriptional regulatory protein TorR,b0995; JW0980,TORR_ECOLI,P38684,EG12615,230,torR,b0995, JW0980
accC,Biotin carboxylase,b3256; JW3224,ACCC_ECOLI,P24182,EG10276,449,accC; fabG,b3256, JW3224
dtpA,Dipeptide and tripeptide permease A,b1634; JW1626,DTPA_ECOLI,P77304,EG13939,500,dtpA; tppB; ydgR,b1634, JW1626
ilvC,Ketol-acid reductoisomerase (NADP(+)),b3774; JW3747,ILVC_ECOLI,P05793,EG10495,491,ilvC,b3774, JW3747
ynjC,Inner membrane ABC transporter permease protein YnjC,b1755; JW5285,YNJC_ECOLI,P76224,EG14005,511,ynjC,b1755, JW5285
sdhA,Succinate dehydrogenase flavoprotein subunit,b0723; JW0713,SDHA_ECOLI,P0AC41,EG10931,588,sdhA,b0723, JW0713
lpdA,Dihydrolipoyl dehydrogenase,b0116; JW0112,DLDH_ECOLI,P0A9P0,EG10543,474,lpdA; lpd,b0116, JW0112
pgi,Glucose-6-phosphate isomerase,b4025; JW3985,G6PI_ECOLI,P0A6T1,EG10702,549,pgi,b4025, JW3985
grxB,Glutaredoxin 2,b1064; JW1051,GLRX2_ECOLI,P0AC59,EG12688,215,grxB,b1064, JW1051
pstC,Phosphate transport system permease protein PstC,b3727; JW3705,PSTC_ECOLI,P0AGH8,EG10784,319,pstC; phoW,b3727, JW3705
gdhA,NADP-specific glutamate dehydrogenase,b1761; JW1750,DHE4_ECOLI,P00370,EG10372,447,gdhA,b1761, JW1750
uvrD,DNA helicase II,b3813; JW3786,UVRD_ECOLI,P03018,EG11064,720,uvrD; mutU; pdeB; rad; recL,b3813, JW3786
nlpI,Lipoprotein NlpI,b3163; JW3132,NLPI_ECOLI,P0AFB1,EG12371,294,nlpI; yhbM,b3163, JW3132
ndh,NADH dehydrogenase,b1109; JW1095,DHNA_ECOLI,P00393,EG10649,434,ndh,b1109, JW1095
folE,GTP cyclohydrolase 1,b2153; JW2140,GCH1_ECOLI,P0A6T5,EG11375,222,folE,b2153, JW2140
gldA,Glycerol dehydrogenase,b3945; JW5556,GLDA_ECOLI,P0A9S5,EG11904,367,gldA,b3945, JW5556
tdcC,Threonine/serine transporter TdcC,b3116; JW3087,TDCC_ECOLI,P0AAD8,EG10991,443,tdcC,b3116, JW3087
upp,Uracil phosphoribosyltransferase,b2498; JW2483,UPP_ECOLI,P0A8F0,EG11332,208,upp; uraP,b2498, JW2483
atpB,ATP synthase subunit a,b3738; JW3716,ATP6_ECOLI,P0AB98,EG10099,271,atpB; papD; uncB,b3738, JW3716
adiC,Arginine/agmatine antiporter,b4115; JW4076,ADIC_ECOLI,P60061,EG12462,445,adiC; aniC; yjdD; yjdE,b4115, JW4076
dadA,D-amino acid dehydrogenase,b1189; JW1178,DADA_ECOLI,P0A6J5,EG11407,432,dadA; dadR,b1189, JW1178
gloA,Lactoylglutathione lyase,b1651; JW1643,LGUL_ECOLI,P0AC81,EG13421,135,gloA,b1651, JW1643
nrfA,Cytochrome c-552,b4070; JW4031,NRFA_ECOLI,P0ABK9,EG11781,478,nrfA,b4070, JW4031
ffh,Signal recognition particle protein,b2610; JW5414,SRP54_ECOLI,P0AGD7,EG10300,453,ffh,b2610, JW5414
nirC,Nitrite transporter NirC,b3367; JW3330,NIRC_ECOLI,P0AC26,EG10654,268,nirC,b3367, JW3330
lldP,L-lactate permease,b3603; JW3578,LLDP_ECOLI,P33231,EG11961,551,lldP; lctP,b3603, JW3578
hcp,Hydroxylamine reductase,b0873; JW0857,HCP_ECOLI,P75825,EG13692,550,hcp; ybjW,b0873, JW0857
dapF,Diaminopimelate epimerase,b3809; JW5592,DAPF_ECOLI,P0A6K1,EG10209,274,dapF,b3809, JW5592
galP,Galactose-proton symporter,b2943; JW2910,GALP_ECOLI,P0AEP1,EG12148,464,galP,b2943, JW2910
skp,Chaperone protein Skp,b0178; JW0173,SKP_ECOLI,P0AEU7,EG10455,161,skp; hlpA; ompH,b0178, JW0173
nuoJ,NADH-quinone oxidoreductase subunit J,b2280; JW2275,NUOJ_ECOLI,P0AFE0,EG12090,184,nuoJ,b2280, JW2275
ybgI,GTP cyclohydrolase 1 type 2 ,b0710; JW0700,GCH1L_ECOLI,P0AFP6,EG13305,247,ybgI,b0710, JW0700
lolA,Outer-membrane lipoprotein carrier protein,b0891; JW0874,LOLA_ECOLI,P61316,EG12684,203,lolA; lplA; yzzV,b0891, JW0874
rpsL,30S ribosomal protein S12,b3342; JW3304,RS12_ECOLI,P0A7S3,EG10911,124,rpsL; strA,b3342, JW3304
uxaC,Uronate isomerase,b3092; JW3063,UXAC_ECOLI,P0A8G3,EG12737,470,uxaC; ygjX; ygjY; ygjZ,b3092, JW3063
efp,Elongation factor P,b4147; JW4107,EFP_ECOLI,P0A6N4,EG12099,188,efp,b4147, JW4107
argR,Arginine repressor,b3237; JW3206,ARGR_ECOLI,P0A6D0,EG10070,156,argR; xerA,b3237, JW3206
yhcB,Inner membrane protein YhcB,b3233; JW5539,YHCB_ECOLI,P0ADW3,EG12614,132,yhcB,b3233, JW5539
yidA,Sugar phosphatase YidA,b3697; JW3674,YIDA_ECOLI,P0A8Y5,EG11195,270,yidA,b3697, JW3674
clpB,Chaperone protein ClpB,b2592; JW2573,CLPB_ECOLI,P63284,EG10157,857,clpB; htpM,b2592, JW2573
emrB,Multidrug export protein EmrB,b2686; JW2661,EMRB_ECOLI,P0AEJ0,EG11439,512,emrB,b2686, JW2661
ibpB,Small heat shock protein IbpB,b3686; JW3663,IBPB_ECOLI,P0C058,EG11535,142,ibpB; hslS; htpE,b3686, JW3663
aroL,Shikimate kinase 2,b0388; JW0379,AROL_ECOLI,P0A6E1,EG10082,174,aroL,b0388, JW0379
ruvB,Holliday junction ATP-dependent DNA helicase RuvB,b1860; JW1849,RUVB_ECOLI,P0A812,EG10924,336,ruvB,b1860, JW1849
mreB,Rod shape-determining protein MreB,b3251; JW3220,MREB_ECOLI,P0A9X4,EG10608,347,mreB; envB; rodY,b3251, JW3220
pyrB,Aspartate carbamoyltransferase catalytic subunit,b4245; JW4204,PYRB_ECOLI,P0A786,EG10805,311,pyrB,b4245, JW4204
livJ,Leu/Ile/Val-binding protein,b3460; JW3425,LIVJ_ECOLI,P0AD96,EG10539,367,livJ,b3460, JW3425
aroC,Chorismate synthase,b2329; JW2326,AROC_ECOLI,P12008,EG10075,361,aroC,b2329, JW2326
metQ,D-methionine-binding lipoprotein MetQ,b0197; JW0193,METQ_ECOLI,P28635,EG11504,271,metQ; yaeC,b0197, JW0193
clpP,ATP-dependent Clp protease proteolytic subunit,b0437; JW0427,CLPP_ECOLI,P0A6G7,EG10158,207,clpP; lopP,b0437, JW0427
mscK,Mechanosensitive channel MscK,b0465; JW0454,MSCK_ECOLI,P77338,EG14240,1120,mscK; aefA; kefA,b0465, JW0454
ileS,Isoleucine--tRNA ligase,b0026; JW0024,SYI_ECOLI,P00956,EG10492,938,ileS; ilvS,b0026, JW0024
fadD,Long-chain-fatty-acid--CoA ligase,b1805; JW1794,LCFA_ECOLI,P69451,EG11530,561,fadD; oldD,b1805, JW1794
dacB,D-alanyl-D-alanine carboxypeptidase DacB,b3182; JW3149,DACB_ECOLI,P24228,EG10202,477,dacB,b3182, JW3149
dnaG,DNA primase,b3066; JW3038,DNAG_ECOLI,P0ABS5,EG10239,581,dnaG; dnaP; parB,b3066, JW3038
kbl,2-amino-3-ketobutyrate coenzyme A ligase,b3617; JW3592,KBL_ECOLI,P0AB77,EG10512,398,kbl,b3617, JW3592
tsaE,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,b4168; JW4126,TSAE_ECOLI,P0AF67,EG11757,153,tsaE; yjeE,b4168, JW4126
ftsL,Cell division protein FtsL,b0083; JW0081,FTSL_ECOLI,P0AEN4,EG11086,121,ftsL; mraR; yabD,b0083, JW0081
glmM,Phosphoglucosamine mutase,b3176; JW3143,GLMM_ECOLI,P31120,EG11553,445,glmM; mrsA; yhbF,b3176, JW3143
lpxA,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,b0181; JW0176,LPXA_ECOLI,P0A722,EG10545,262,lpxA,b0181, JW0176
ydhC,Inner membrane transport protein YdhC,b1660; JW1652,YDHC_ECOLI,P37597,EG12141,403,ydhC,b1660, JW1652
mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,b0087; JW0085,MRAY_ECOLI,P0A6W3,EG10604,360,mraY; murX,b0087, JW0085
pfkA,ATP-dependent 6-phosphofructokinase isozyme 1,b3916; JW3887,PFKA_ECOLI,P0A796,EG10699,320,pfkA,b3916, JW3887
nuoG,NADH-quinone oxidoreductase subunit G,b2283; JW2278,NUOG_ECOLI,P33602,EG12087,908,nuoG,b2283, JW2278
deoR,Deoxyribose operon repressor,b0840; JW0824,DEOR_ECOLI,P0ACK5,EG10223,252,deoR; nucR,b0840, JW0824
gmhA,Phosphoheptose isomerase,b0222; JW0212,GMHA_ECOLI,P63224,EG13146,192,gmhA; lpcA; tfrA; yafI,b0222, JW0212
moaC,Cyclic pyranopterin monophosphate synthase,b0783; JW0766,MOAC_ECOLI,P0A738,EG11666,161,moaC; chlA3,b0783, JW0766
ftsE,Cell division ATP-binding protein FtsE,b3463; JW3428,FTSE_ECOLI,P0A9R7,EG10340,222,ftsE,b3463, JW3428
sspA,Stringent starvation protein A,b3229; JW3198,SSPA_ECOLI,P0ACA3,EG10977,212,sspA; pog; ssp,b3229, JW3198
uxaA,Altronate dehydratase,b3091; JW3062,UXAA_ECOLI,P42604,EG12734,495,uxaA; ygjW,b3091, JW3062
purM,Phosphoribosylformylglycinamidine cyclo-ligase,b2499; JW2484,PUR5_ECOLI,P08178,EG10798,345,purM; purG,b2499, JW2484
pyrC,Dihydroorotase,b1062; JW1049,PYRC_ECOLI,P05020,EG10806,348,pyrC,b1062, JW1049
glpA,Anaerobic glycerol-3-phosphate dehydrogenase subunit A,b2241; JW2235,GLPA_ECOLI,P0A9C0,EG10391,542,glpA,b2241, JW2235
clsB,Cardiolipin synthase B,b0789; JW0772,CLSB_ECOLI,P0AA84,EG13671,413,clsB; ybhO,b0789, JW0772
yfcA,putative membrane transporter protein YfcA,b2327; JW2324,YFCA_ECOLI,P0AD30,EG11144,269,yfcA,b2327, JW2324
bcr,Bicyclomycin resistance protein,b2182; JW5363,BCR_ECOLI,P28246,EG11419,396,bcr; bicA; bicR; sur; suxA,b2182, JW5363
ftsI,"Peptidoglycan D,D-transpeptidase FtsI",b0084; JW0082,FTSI_ECOLI,P0AD68,EG10341,588,ftsI; pbpB,b0084, JW0082
nfuA,Fe/S biogenesis protein NfuA,b3414; JW3377,NFUA_ECOLI,P63020,EG12935,191,nfuA; gntY; yhgI,b3414, JW3377
pykA,Pyruvate kinase II,b1854; JW1843,KPYK2_ECOLI,P21599,EG10803,480,pykA,b1854, JW1843
waaA,3-deoxy-D-manno-octulosonic acid transferase,b3633; JW3608,KDTA_ECOLI,P0AC75,EG10520,425,waaA; kdtA,b3633, JW3608
truB,tRNA pseudouridine synthase B,b3166; JW3135,TRUB_ECOLI,P60340,EG11177,314,truB; yhbA,b3166, JW3135
hisS,Histidine--tRNA ligase,b2514; JW2498,SYH_ECOLI,P60906,EG10453,424,hisS,b2514, JW2498
ptsN,Nitrogen regulatory protein,b3204; JW3171,PTSN_ECOLI,P69829,EG11682,163,ptsN; rpoP; yhbI,b3204, JW3171
alaA,Glutamate-pyruvate aminotransferase AlaA,b2290; JW2287,ALAA_ECOLI,P0A959,EG14101,405,alaA; yfbQ,b2290, JW2287
rbfA,30S ribosome-binding factor,b3167; JW3136,RBFA_ECOLI,P0A7G2,EG11178,133,rbfA; P15B; yhbB,b3167, JW3136
uhpT,Hexose-6-phosphate:phosphate antiporter,b3666; JW3641,UHPT_ECOLI,P0AGC0,EG11054,463,uhpT,b3666, JW3641
fumA,"Fumarate hydratase class I, aerobic",b1612; JW1604,FUMA_ECOLI,P0AC33,EG10356,548,fumA,b1612, JW1604
ssb,Single-stranded DNA-binding protein,b4059; JW4020,SSB_ECOLI,P0AGE0,EG10976,178,ssb; exrB; lexC,b4059, JW4020
galU,UTP--glucose-1-phosphate uridylyltransferase,b1236; JW1224,GALU_ECOLI,P0AEP3,EG11319,302,galU; ychD,b1236, JW1224
syd,Protein Syd,b2793; JW2764,SYDP_ECOLI,P0A8U0,EG12959,181,syd; ydr,b2793, JW2764
dtpB,Dipeptide and tripeptide permease B,b3496; JW3463,DTPB_ECOLI,P36837,EG12232,489,dtpB; yhiP,b3496, JW3463
gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],b3608; JW3583,GPDA_ECOLI,P0A6S7,EG20091,339,gpsA,b3608, JW3583
proY,Proline-specific permease ProY,b0402; JW5055,PROY_ECOLI,P0AAE2,EG13609,457,proY; yajM,b0402, JW5055
pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,b1912; JW1897,PGSA_ECOLI,P0ABF8,EG10706,182,pgsA,b1912, JW1897
ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),b2515; JW2499,ISPG_ECOLI,P62620,EG10370,372,ispG; gcpE,b2515, JW2499
ppc,Phosphoenolpyruvate carboxylase,b3956; JW3928,CAPP_ECOLI,P00864,EG10756,883,ppc; glu,b3956, JW3928
sthA,Soluble pyridine nucleotide transhydrogenase,b3962; JW5551,STHA_ECOLI,P27306,EG11428,466,sthA; sth; udhA,b3962, JW5551
nuoN,NADH-quinone oxidoreductase subunit N,b2276; JW2271,NUON_ECOLI,P0AFF0,EG12093,485,nuoN,b2276, JW2271
degP,Periplasmic serine endoprotease DegP,b0161; JW0157,DEGP_ECOLI,P0C0V0,EG10463,474,degP; htrA; ptd,b0161, JW0157
dam,DNA adenine methylase,b3387; JW3350,DMA_ECOLI,P0AEE8,EG10204,278,dam,b3387, JW3350
exoX,Exodeoxyribonuclease 10,b1844; JW1833,EXOX_ECOLI,P0AEK0,EG14031,220,exoX; yobC,b1844, JW1833
yejG,putative protein YejG,b2181; JW2169,YEJG_ECOLI,P0AD21,EG12042,114,yejG,b2181, JW2169
hldE,Bifunctional protein HldE,b3052; JW3024,HLDE_ECOLI,P76658,EG13416,477,hldE; rfaE; waaE; yqiF,b3052, JW3024
rplV,50S ribosomal protein L22,b3315; JW3277,RL22_ECOLI,P61175,EG10882,110,rplV; eryB,b3315, JW3277
cyoC,Cytochrome bo(3) ubiquinol oxidase subunit 3,b0430; JW0420,CYOC_ECOLI,P0ABJ3,EG10180,204,cyoC,b0430, JW0420
hns,DNA-binding protein H-NS,b1237; JW1225,HNS_ECOLI,P0ACF8,EG10457,137,hns; bglY; cur; drdX; hnsA; msyA; osmZ; pilG; topS,b1237, JW1225
hyaA,Hydrogenase-1 small chain,b0972; JW0954,MBHS_ECOLI,P69739,EG10468,372,hyaA,b0972, JW0954
pth,Peptidyl-tRNA hydrolase,b1204; JW1195,PTH_ECOLI,P0A7D1,EG10785,194,pth,b1204, JW1195
murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,b0088; JW0086,MURD_ECOLI,P14900,EG10620,438,murD,b0088, JW0086
tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,b3064; JW3036,TSAD_ECOLI,P05852,EG11171,337,tsaD; gcp; ygjD,b3064, JW3036
ptsP,Phosphoenolpyruvate-dependent phosphotransferase system,b2829; JW2797,PT1P_ECOLI,P37177,EG12188,748,ptsP; ygdF; ygdO,b2829, JW2797
folB,Dihydroneopterin aldolase,b3058; JW3030,FOLB_ECOLI,P0AC16,EG11673,122,folB; ygiG,b3058, JW3030
emtA,Endo-type membrane-bound lytic murein transglycosylase A,b1193; JW5821,EMTA_ECOLI,P0C960,EG13897,203,emtA; mltE; sltZ; ycgP,b1193, JW5821
cysZ,Sulfate transporter CysZ,b2413; JW2406,CYSZ_ECOLI,P0A6J3,EG10003,253,cysZ,b2413, JW2406
argP,HTH-type transcriptional regulator ArgP,b2916; JW2883,ARGP_ECOLI,P0A8S1,EG10490,297,argP; iciA,b2916, JW2883
sapA,Peptide transport periplasmic protein SapA,b1294; JW1287,SAPA_ECOLI,Q47622,EG20254,547,sapA,b1294, JW1287
glnG,DNA-binding transcriptional regulator NtrC,b3868; JW3839,NTRC_ECOLI,P0AFB8,EG10385,469,glnG; glnT; ntrC,b3868, JW3839
mocA,Molybdenum cofactor cytidylyltransferase,b2877; JW2845,MOCA_ECOLI,Q46810,EG13060,192,mocA; ygfJ,b2877, JW2845
mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,b0159; JW0155,MTNN_ECOLI,P0AF12,EG11090,232,mtnN; mtn; pfs; yadA,b0159, JW0155
tpiA,Triosephosphate isomerase,b3919; JW3890,TPIS_ECOLI,P0A858,EG11015,255,tpiA; tpi,b3919, JW3890
trkH,Trk system potassium uptake protein TrkH,b3849; JW5576,TRKH_ECOLI,P0AFZ7,EG11021,483,trkH,b3849, JW5576
nagC,N-acetylglucosamine repressor,b0676; JW0662,NAGC_ECOLI,P0AF20,EG10636,406,nagC; nagR,b0676, JW0662
fusA,Elongation factor G,b3340; JW3302,EFG_ECOLI,P0A6M8,EG10360,704,fusA; far; fus,b3340, JW3302
argB,Acetylglutamate kinase,b3959; JW5553,ARGB_ECOLI,P0A6C8,EG10064,258,argB,b3959, JW5553
napG,Ferredoxin-type protein NapG,b2205; JW2193,NAPG_ECOLI,P0AAL3,EG12064,231,napG; yojA; yojB,b2205, JW2193
mglC,Galactoside transport system permease protein MglC,b2148; JW2135,MGLC_ECOLI,P23200,EG10594,336,mglC,b2148, JW2135
hybB,putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit,b2995; JW5494,HYBB_ECOLI,P37180,EG11800,392,hybB,b2995, JW5494
pheA,P-protein,b2599; JW2580,PHEA_ECOLI,P0A9J8,EG10707,386,pheA,b2599, JW2580
murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,b0090; JW0088,MURG_ECOLI,P17443,EG10623,355,murG,b0090, JW0088
narI,Respiratory nitrate reductase 1 gamma chain,b1227; JW1218,NARI_ECOLI,P11350,EG10640,225,narI; chlI,b1227, JW1218
thrS,Threonine--tRNA ligase,b1719; JW1709,SYT_ECOLI,P0A8M3,EG11001,642,thrS,b1719, JW1709
iscR,HTH-type transcriptional regulator IscR,b2531; JW2515,ISCR_ECOLI,P0AGK8,EG13397,162,iscR; yfhP,b2531, JW2515
artP,Arginine transport ATP-binding protein ArtP,b0864; JW0848,ARTP_ECOLI,P0AAF6,EG11624,242,artP,b0864, JW0848
pepA,Cytosol aminopeptidase,b4260; JW4217,AMPA_ECOLI,P68767,EG10694,503,pepA; carP; xerB,b4260, JW4217
rarA,Replication-associated recombination protein A,b0892; JW0875,RARA_ECOLI,P0AAZ4,EG12690,447,rarA; mgsA; ycaJ,b0892, JW0875
accA,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,b0185; JW0180,ACCA_ECOLI,P0ABD5,EG11647,319,accA,b0185, JW0180
yidC,Membrane protein insertase YidC,b3705; JW3683,YIDC_ECOLI,P25714,EG11197,548,yidC,b3705, JW3683
ppx,Exopolyphosphatase,b2502; JW2487,PPX_ECOLI,P0AFL6,EG11403,513,ppx,b2502, JW2487
pcnB,Poly(A) polymerase I,b0143; JW5808,PCNB_ECOLI,P0ABF1,EG10690,465,pcnB,b0143, JW5808
cyoE,Protoheme IX farnesyltransferase,b0428; JW0418,CYOE_ECOLI,P0AEA5,EG10182,296,cyoE,b0428, JW0418
rluD,Ribosomal large subunit pseudouridine synthase D,b2594; JW2576,RLUD_ECOLI,P33643,EG12098,326,rluD; sfhB; yfiI,b2594, JW2576
